id,nom,lat,long
1,Abbaye de Beaulieu-en-Rouergue,44.2012986,1.8576953
2,Abbaye de Charroux,46.141736,0.404965
3,Abbaye de Cluny,46.43517292,4.658219218
4,Abbaye de La Sauve-Majeure,44.7679,-0.3125
5,Abbaye de Montmajour,43.70567881,4.664148241
6,Abbaye du Bec-Hellouin,49.228611,0.721667
7,Abbaye du Mont-Saint-Michel,48.63597158,-1.511414051
8,Abbaye du Thoronet,43.4501102,6.3080895
9,Alignements de Carnac,47.597702,-3.0633934
10,Arc de triomphe,48.873818,2.295023
11,Basilique cathédrale de Saint-Denis,48.93541968,2.35991478
12,Cairn de Barnenez,48.66756914,-3.858427405
13,Cathédrale de Besançon et son horloge astronomique,47.2336343,6.0303255
14,Chapelle expiatoire,48.8736986,2.322691083
15,Château d'Angers,47.4698136,-0.5593384
16,Château d'Assier,44.6752839,1.8792255
17,Château d'Aulteribe,45.775,3.498889
18,Château d'Azay-le-Rideau,47.2595533,0.4666037
19,Château d'If,43.27985713,5.325134397
20,Château d'Oiron,46.95187347,-0.07733345
21,Château de Bouges,47.04240481,1.672968864
22,Château de Bussy-Rabutin,47.56157768,4.523475766
23,Château de Cadillac,44.63810122,-0.320652723
24,Château de Carrouges,48.56012908,-0.154345036
25,Château de Castelnau-Bretenoux,44.8992,1.8256
26,Château de Chareil-Cintrat,46.23942016,3.229722977
27,Château de Châteaudun,48.07079562,1.323723793
28,Château de Coucy,49.52177486,3.318611383
29,Château de Fougères-sur-Bièvre,47.44773885,1.343808174
30,Château de Gramont,43.9580329,0.9211763
31,Château de La Motte-Tilly,48.46713457,3.431473374
32,Château de Montal,44.8624197,1.8599192
33,Château de Pierrefonds,49.34699376,2.980197072
34,Château de Puyguilhem,45.425833,0.744444
35,Château de Rambouillet et Laiterie de la Reine et Chaumière aux Coquillages,48.64540401,1.817328036
36,Château de Talcy,47.76975536,1.444476843
37,Château de Villeneuve-Lembron,45.47799655,3.185970783
38,Château de Vincennes,48.84266825,2.435703278
39,Château de Voltaire à Ferney,46.2581309,6.1043544
40,Château et remparts de la cité de Carcassonne,43.20728336,2.363262177
41,Cloître de la cathédrale de Fréjus,43.43306278,6.737151146
42,Cloître de la cathédrale du Puy-en-Velay,45.0461801,3.8848592
43,Cloître de la Psalette à Tours,47.39582912,0.694069862
44,Colonne de la Grande Armée à Wimille,50.7644118,1.6310642
45,Conciergerie,48.85581755,2.3459512
46,Domaine national de Saint-Cloud,48.83682143,2.218208313
47,Fort Saint-André à Villeneuve-lez-Avignon,43.9662,4.8001
48,Forteresse de Salses,42.83968028,2.918302417
49,Grotte de Pair-non-Pair,45.0396354,-0.5022214
50,Maison d'Ernest Renan à Tréguier,48.788491,-3.2271867
51,Maison de George Sand à Nohant,46.6254445,1.9749036
52,Maison de Georges Clemenceau à Saint-Vincent-sur-Jard,46.4063,-1.5474
53,Maison des Jardies à Sèvres,48.8272072,2.1985906
54,Monastère de Saorge,43.9878757,7.5509564
55,Monastère royal de Brou à Bourg-en-Bresse,46.1978767,5.2356066
56,Palais du Tau à Reims,49.25309012,4.034181833
57,Palais Jacques Coeur à Bourges,47.085296,2.3944818
58,Panthéon,48.84628421,2.34607324
59,Place forte de Mont-Dauphin,44.6691299,6.6252286
60,Sainte-Chapelle,48.85536753,2.345023155
61,Site archéologique de Glanum,43.7736,4.833
62,Site archéologique de Montcaret,44.8587327,0.0638404
63,Site archéologique et musée d'Ensérune,43.310556,3.115278
64,Site des mégalithes de Locmariaquer,47.5732972,-2.9574633
65,Site gallo-romain de Sanxay,46.4941324,-0.0070385
66,Tour et crypte de la cathédrale de Bourges,47.08241152,2.398495674
67,Tour Pey-Berland à Bordeaux,44.8379962,-0.5777064
68,Tours de la cathédrale d'Amiens,49.895,2.302222
69,Tours de la cathédrale de Chartres,48.44776369,1.487982273
70,Tours de la cathédrale de Reims,49.2534,4.033
71,Tours de la cathédrale Notre-Dame de Paris,48.85297618,2.349953055
72,Tours de La Rochelle,46.15580101,-1.153231859
73,Tours et remparts d'Aigues-Mortes,43.56781436,4.190865755
74,Trophée d'Auguste à La Turbie,43.74480501,7.401840091
75,Villa Savoye à Poissy,48.92442556,2.028270364
